id,fio,fraction,rating,n_okr,okrug
56,Москвичев Евгений Сергеевич,ЕДИНАЯ РОССИЯ,4,,
57,Баталина Ольга Юрьевна,ЕДИНАЯ РОССИЯ,2,,
58,Хор Глеб Яковлевич,ЕДИНАЯ РОССИЯ,3,,
59,Кузнецова Анна Юрьевна,ЕДИНАЯ РОССИЯ,10,,
60,Фролова Тамара Ивановна,ЕДИНАЯ РОССИЯ,5,,
61,Черняева Нина Алексеевна,ЕДИНАЯ РОССИЯ,7,,
62,Фирюлин Иван Иванович,ЕДИНАЯ РОССИЯ,10,,
63,Петров Анатолий Ильич,ЕДИНАЯ РОССИЯ,8,,
64,Носов Александр Алексеевич,ЕДИНАЯ РОССИЯ,2,,
65,Никонов Вячеслав Алексеевич,ЕДИНАЯ РОССИЯ,10,,
66,Пискарев Василий Иванович,ЕДИНАЯ РОССИЯ,8,,
67,Кидяев Виктор Борисович,ЕДИНАЯ РОССИЯ,8,,
68,Аршинова Алёна Игоревна,ЕДИНАЯ РОССИЯ,7,,
69,Воробьев Александр Васильевич,ЕДИНАЯ РОССИЯ,3,,
70,Сафин Марат Мубинович,ЕДИНАЯ РОССИЯ,4,,
71,Солнцева Светлана Юрьевна,ЕДИНАЯ РОССИЯ,7,,
72,Чиндяскин Сергей Викторович,ЕДИНАЯ РОССИЯ,9,,
73,Савастьянова Ольга Викторовна,ЕДИНАЯ РОССИЯ,5,,
74,Вторыгина Елена Андреевна,ЕДИНАЯ РОССИЯ,5,,
75,Журова Светлана Сергеевна,ЕДИНАЯ РОССИЯ,8,,
76,Лященко Алексей Вадимович,ЕДИНАЯ РОССИЯ,9,,
77,Федоров Евгений Алексеевич,ЕДИНАЯ РОССИЯ,6,,
78,Васильев Александр Николаевич,ЕДИНАЯ РОССИЯ,1,,
79,Терешкова Валентина Владимировна,ЕДИНАЯ РОССИЯ,10,,
80,Иванов Валерий Викторович,ЕДИНАЯ РОССИЯ,1,,
81,Осипов Илья Владимирович,ЕДИНАЯ РОССИЯ,5,,
82,Макаровец Николай Александрович,ЕДИНАЯ РОССИЯ,9,,
83,Валуев Николай Сергеевич,ЕДИНАЯ РОССИЯ,4,,
84,Любимов Николай Викторович,ЕДИНАЯ РОССИЯ,4,,
85,Петрунин Николай Юрьевич,ЕДИНАЯ РОССИЯ,1,,
