id Declarator,"ФИО депутата, автора законопроекта","Количество законопроектов, внесенных депутатом в указанный период","Количество внесенных законопроектов, подписанных президентом","Процент успешных законопроектов, %",Сумма дней прохождения всех законопроектов,Среднее количество дней прохождения законопроекта депутата-автора,Примечания,Служебное
14917,Сысоев Владимир Владимирович,51,2,"3,92%",314,157,,
1217,Катасонов Сергей Михайлович,27,1,"3,70%",422,422,,
31773,Газзаев Валерий Георгиевич,56,2,"3,57%",413,"206,5",,
31954,Пашин Виталий Львович,36,1,"2,78%",229,229,,
32013,Шилков Данил Евгеньевич,36,1,"2,78%",229,229,,
69,Грешневиков Анатолий Николаевич,37,1,"2,70%",396,396,,
31932,Омаров Гаджимурад Заирбекович,40,1,"2,50%",396,396,,
328,Епифанова Ольга Николаевна,82,2,"2,44%",487,"243,5",,
361,Ананских Игорь Александрович,43,1,"2,33%",396,396,,
85,Терентьев Александр Васильевич,44,1,"2,27%",396,396,,
326,Чепа Алексей Васильевич,51,1,"1,96%",396,396,,
40,Гартунг Валерий Карлович,55,1,"1,82%",396,396,,
31855,Крючек Сергей Иванович,56,1,"1,79%",396,396,,
86,Тумусов Федот Семёнович,76,1,"1,32%",396,396,,
304,Нилов Олег Анатольевич,102,1,"0,98%",396,396,,
105,Слуцкий Леонид Эдуардович,1,1,"100,00%",17,17,,
638,Саралиев Шамсаил Юнусович,2,2,"100,00%",157,"78,5",,
215,Панков Николай Васильевич,1,1,"100,00%",112,112,,
9123,Антошкин Николай Тимофеевич,1,1,"100,00%",113,113,аномалия,
418,Жарков Антон Викторович,1,1,"100,00%",113,113,,
500,Ресин Владимир Иосифович,1,1,"100,00%",113,113,,
118,Аршба Отари Ионович,2,2,"100,00%",308,154,аномалия,
57380,Быков Олег Петрович,2,2,"100,00%",308,154,аномалия явная,
992,Черняева Нина Алексеевна,1,1,"100,00%",166,166,,
276,Старшинов Михаил Евгеньевич,1,1,"100,00%",186,186,,
194,Богуславский Ирек Борисович,2,2,"100,00%",398,199,,
1152,Иванов Валерий Викторович,2,2,"100,00%",398,199,,
23306,Кудрявцев Максим Георгиевич,2,2,"100,00%",436,218,,
31911,Станкевич Игорь Валентинович,1,1,"100,00%",223,223,,
32015,Шишкоедов Василий Михайлович,1,1,"100,00%",223,223,,
31981,Минкин Иршат Султанович,3,3,"100,00%",749,"249,6666667",,
593,Петров Юрий Александрович,2,2,"100,00%",516,258,,
436,Бариев Марат Мансурович,4,3,"75,00%",505,"168,3333333",аномалия,
22037,Байгускаров Зариф Закирович,4,3,"75,00%",563,"187,6666667",аномалия ?,
438,Хайров Ринат Шамильевич,4,3,"75,00%",749,"249,6666667",,
489,Бурматов Владимир Владимирович,3,2,"66,67%",133,"66,5",,
31959,Тетерин Иван Михайлович,3,2,"66,67%",214,107,,
98,Напсо Юрий Аисович,3,2,"66,67%",308,154,,
239,Шаккум Мартин Люцианович,3,2,"66,67%",613,"306,5",,
5456,Кравченко Денис Борисович,2,1,"50,00%",181,181,,
223,Гончар Николай Николаевич,4,2,"50,00%",371,"185,5",,
13666,Лященко Алексей Вадимович,2,1,"50,00%",208,208,,
13994,Скриванов Дмитрий Станиславович,2,1,"50,00%",208,208,,
1818,Лоор Иван Иванович,2,1,"50,00%",223,223,,
16001,Беспалова Марина Павловна,2,1,"50,00%",245,245,,
196,Борцов Николай Иванович,2,1,"50,00%",271,271,,
15146,Гоголева Татьяна Степановна,2,1,"50,00%",271,271,,
31960,Догаев Ахмед Шамханович,2,1,"50,00%",271,271,,
623,Ледков Григорий Петрович,2,1,"50,00%",271,271,,
14568,Бондаренко Елена Вениаминовна,4,2,"50,00%",813,"406,5",,
12804,Чернышев Андрей Владимирович,2,1,"50,00%",431,431,,
31909,Горелкин Антон Вадимович,3,1,"33,33%",28,28,,
13305,Швыткин Юрий Николаевич,3,1,"33,33%",57,57,,
245,Заварзин Виктор Михайлович,3,1,"33,33%",73,73,,
22065,Шаманов Владимир Анатольевич,3,1,"33,33%",73,73,,
1598,Бугера Михаил Евгеньевич,3,1,"33,33%",85,85,аномалия,
31894,Селиверстов Виктор Валентинович,3,1,"33,33%",113,113,,
24012,Хохлов Алексей Алексеевич,3,1,"33,33%",141,141,,
198,Булавинов Вадим Евгеньевич,3,1,"33,33%",149,149,,
31964,Петрунин Николай Юрьевич,3,1,"33,33%",186,186,,
17590,Данчикова Галина Иннокентьевна,3,1,"33,33%",245,245,,
31753,Ямпольская Елена Александровна,3,1,"33,33%",271,271,,
342,Маринин Сергей Владимирович,3,1,"33,33%",374,374,,
32017,Шперов Павел Валентинович,2,1,"50,00%",39,39,,
336,Левин Леонид Леонидович,2,1,"50,00%",42,42,,
577,Жуков Александр Дмитриевич,4,2,"50,00%",97,"48,5",,
247,Сафаралиев Гаджимет Керимович,2,1,"50,00%",53,53,,
565,Алексеева Татьяна Олеговна,2,1,"50,00%",82,82,аномалия,
1885,Онищенко Геннадий Григорьевич,4,2,"50,00%",166,83,,
158,Максимова Надежда Сергеевна,4,1,"25,00%",79,79,,
14955,Бузилов Валерий Викторович,4,1,"25,00%",150,150,аномалия,
31988,Загребин Алексей Егорович,4,1,"25,00%",150,150,,
1147,Плотников Владимир Николаевич,4,1,"25,00%",155,155,,
285,Хайруллин Айрат Назипович,4,1,"25,00%",155,155,,
2958,Вторыгина Елена Андреевна,4,1,"25,00%",164,164,,
12543,Цыбизова Татьяна Игоревна,4,1,"25,00%",166,166,,
148,Крупенников Владимир Александрович,2,1,"50,00%",113,113,,
13437,Богодухов Владимир Иванович,2,1,"50,00%",141,141,,
14585,Кузьмин Миххаил Владимирович,2,1,"50,00%",152,152,,
